filename	number	category	descriptor	location	width	height	format	bytes	original_filename	source	license	camera	fnum	iso
1600_food_steamed-dumplings-basket_university-city-san-diego-california_note9_iso64-f2p4_20190516-185153_4032x3024.jpg	1600	food	steamed-dumplings-basket	university-city-san-diego-california	4032	3024	jpg	525959	20190516_185153.jpg	lilith	PD-own	note9	2.4	64
1601_food_sushi-roll-platter_colorado_s10_iso320-f2p4_20200212-181250_4032x3024.jpg	1601	food	sushi-roll-platter	colorado	4032	3024	jpg	1098812	20200212_181250.jpg	lilith	PD-own	s10	2.4	320
1602_food_caprese-salad-plate_s21u_iso250-f2p4_20210709-193445_4000x3000.jpg	1602	food	caprese-salad-plate		4000	3000	jpg	3227320	20210709_193445.jpg	lilith	PD-own	s21u	2.4	250
1603_food_salad-plate-fork_colorado_s21u_iso40-f1p8_20210801-190732_4000x3000.jpg	1603	food	salad-plate-fork	colorado	4000	3000	jpg	4158373	20210801_190732.jpg	lilith	PD-own	s21u	1.8	40
1604_food_meat-and-fried-vegetables_l-eixample-barcelona-spain_s21u_iso640-f1p8_20220304-124452_4000x3000.jpg	1604	food	meat-and-fried-vegetables	l-eixample-barcelona-spain	4000	3000	jpg	3575733	20220304_124452.jpg	lilith	PD-own	s21u	1.8	640
1605_food_sushi-roll-platter_s21u_iso1250-f1p8_20220817-200800_4000x3000.jpg	1605	food	sushi-roll-platter		4000	3000	jpg	3052960	20220817_200800.jpg	lilith	PD-own	s21u	1.8	1250
1606_food_fried-calamari-salad_hanalei-hawaii_s21u_iso32-f1p8_20221001-155420_3462x2150.jpg	1606	food	fried-calamari-salad	hanalei-hawaii	3462	2150	jpg	1049196	20221001_155420.jpg	lilith	PD-own	s21u	1.8	32
1607_food_grilled-seafood-plate_s21u_iso1250-f1p8_20221210-191616_4000x3000.jpg	1607	food	grilled-seafood-plate		4000	3000	jpg	2796138	20221210_191616.jpg	lilith	PD-own	s21u	1.8	1250
1608_food_single-cake-slice-plate_anedaitocho-kyoto-japan_s23u_iso320-f2p2_20230709-194142_4000x3000.jpg	1608	food	single-cake-slice-plate	anedaitocho-kyoto-japan	4000	3000	jpg	3215133	20230709_194142.jpg	lilith	PD-own	s23u	2.2	320
1609_food_tray-of-food_kurama-kibune-cho-kyoto-japan_s23u_iso100-f2p2_20230711-123756_4000x3000.jpg	1609	food	tray-of-food	kurama-kibune-cho-kyoto-japan	4000	3000	jpg	2359520	20230711_123756.jpg	lilith	PD-own	s23u	2.2	100
1610_food_rice-bowl-vegetables_mapunapuna-honolulu-hawaii_s23u_iso50-f2p2_20230712-183013_4000x3000.jpg	1610	food	rice-bowl-vegetables	mapunapuna-honolulu-hawaii	4000	3000	jpg	2930173	20230712_183013.jpg	lilith	PD-own	s23u	2.2	50
1611_food_blue-geode-cake_s20_iso64-f1p8_20230715-143732_4032x3024.jpg	1611	food	blue-geode-cake		4032	3024	jpg	1119338	20230715_143732.jpg	lilith	PD-own	s20	1.8	64
