filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	art_license	artist	date	image_url	keyinfo	medium	sha256	title
3000_aic_for-sunday-s-dinner_111377_1269x2250.jpg	3000	aic	for-sunday-s-dinner_111377	1269	2250	jpg	411437	111377_for-sunday-s-dinner.jpg	art-institute-chicago	CC0	CC0	William Michael Harnett	1888	https://www.artic.edu/iiif/2/3cea045a-92d6-36cf-1508-2c99ea740218/full/full/0/default.jpg	111377	Oil on canvas	14794242e0c06df546e07a695b53435be32db167209be4f85699558320ef32ec	For Sunday's Dinner
3001_aic_self-portrait_11_4000x5226.jpg	3001	aic	self-portrait_11	4000	5226	jpg	5995869	11_self-portrait.jpg	art-institute-chicago	CC0	CC0	Walter Shirlaw	1878	https://www.artic.edu/iiif/2/7b7a6f39-1cd8-ea2f-9811-18b0e23edac0/full/4000,/0/default.jpg	11	Oil on canvas	0e29737f8bb06790a70cf239573a2a720ec9b00eea1e684f0532f3c2e98fcbc5	Self-Portrait
3002_aic_the-irish-question_181777_4000x4860.jpg	3002	aic	the-irish-question_181777	4000	4860	jpg	6239696	181777_the-irish-question.jpg	art-institute-chicago	CC0	CC0	De Scott Evans	1880s	https://www.artic.edu/iiif/2/6754947f-4ccf-b3ff-41ee-45b738534769/full/4000,/0/default.jpg	181777	Oil on canvas	33b1af4f24bd1e66e081119ab6a4821666934afbdeaa13d6e7872ac5a1c7ebc7	The Irish Question
3003_aic_village-among-the-trees_23119_4000x2832.jpg	3003	aic	village-among-the-trees_23119	4000	2832	jpg	3387360	23119_village-among-the-trees.jpg	art-institute-chicago	CC0	CC0	Master of the Small Landscapes	c. 1560	https://www.artic.edu/iiif/2/1e452e34-3a2b-0dca-35c3-c7236c612985/full/4000,/0/default.jpg	23119	Pen and brown ink, heightened with opaque white watercolor and touches of pink and yellow watercolor, over black chalk, on blue tinted laid paper, laid down on laid paper	67a7404165254929aef07d4a0c70598d2c01a7b3b7c032acacedfe4e379669b1	Village Among the Trees
3004_aic_hydria-water-jar_253_1169x1559.jpg	3004	aic	hydria-water-jar_253	1169	1559	jpg	427747	253_hydria-water-jar.jpg	art-institute-chicago	CC0	CC0	Ancient Greek	about 300 BCE	https://www.artic.edu/iiif/2/9af8c354-e223-256b-6aa9-71738010d4d5/full/full/0/default.jpg	253	terracotta, black-glaze	b698bbd87da0af4c9aed2daafb13208ad118e1b51ed5f203da85ef69af428761	Hydria (Water Jar)
3005_aic_mitsuke-ferries-crossing-the-tenryu-river-mitsuk_4368_3000x2240.jpg	3005	aic	mitsuke-ferries-crossing-the-tenryu-river-mitsuk_4368	3000	2240	jpg	2039158	4368_mitsuke-ferries-crossing-the-tenryu-river-mitsuk.jpg	art-institute-chicago	CC0	CC0	Utagawa Hiroshige	c. 1837/42	https://www.artic.edu/iiif/2/2920ee93-7e74-393e-c270-d58847eb9af7/full/full/0/default.jpg	4368	Color woodblock print; chuban	c5679ad7e91a874b2bd390e9e88c4da8928882b5e87ff8241ffd8dc53a015455	"Mitsuke: Ferries Crossing the Tenryu River (Mitsuke, Tenryugawa funawatashi), from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),"" also known as the Tokaido with Poem (Kyoka iri Tokaido)"
3006_aic_hamamatsu-from-the-series-fifty-three-stations-o_4371_3000x2235.jpg	3006	aic	hamamatsu-from-the-series-fifty-three-stations-o_4371	3000	2235	jpg	2292612	4371_hamamatsu-from-the-series-fifty-three-stations-o.jpg	art-institute-chicago	CC0	CC0	Utagawa Hiroshige	c. 1837/42	https://www.artic.edu/iiif/2/cef4e5df-a749-090b-b897-7d5f40654685/full/full/0/default.jpg	4371	Color woodblock print; chuban	ce6e1eb35fa5a767ce080c75454cfc21a006728336c3c544399988c0546f2ac0	"Hamamatsu, from the series ""Fifty-three Stations of the Tokaido (Tokaido gojusan tsugi),"" also known as the Tokaido with Poem (Kyoka iri Tokaido)"
3007_aic_rounded-jar-depicting-abstract-fish-or-sharks_4715_2848x2250.jpg	3007	aic	rounded-jar-depicting-abstract-fish-or-sharks_4715	2848	2250	jpg	961764	4715_rounded-jar-depicting-abstract-fish-or-sharks.jpg	art-institute-chicago	CC0	CC0	Nasca	180 BCE–500 CE	https://www.artic.edu/iiif/2/0c948be5-3ea6-2f46-e30a-de864d3c1cc5/full/full/0/default.jpg	4715	Ceramic and pigment	14162590c41e45262ce165dd45eb3042e369a6d154865e391e970b19e81423b6	Rounded Jar Depicting Abstract Fish or Sharks
3008_aic_trompe-l-oeil-still-life-with-a-flower-garland-a_66042_4000x2883.jpg	3008	aic	trompe-l-oeil-still-life-with-a-flower-garland-a_66042	4000	2883	jpg	2964239	66042_trompe-l-oeil-still-life-with-a-flower-garland-a.jpg	art-institute-chicago	CC0	CC0	Adriaen van der Spelt	1658	https://www.artic.edu/iiif/2/4a04138f-43d8-cd9f-5ac4-478cd8828210/full/4000,/0/default.jpg	66042	Oil on panel	bcf2593c11fb41d5472c53d629ba8eb55b2e92a0bbb704dc3a736585c829cbcf	Trompe-l'Oeil Still Life with a Flower Garland and a Curtain
3009_aic_komurasaki-of-the-miuraya-and-shirai-gompachi-mi_7624_676x3000.jpg	3009	aic	komurasaki-of-the-miuraya-and-shirai-gompachi-mi_7624	676	3000	jpg	684680	7624_komurasaki-of-the-miuraya-and-shirai-gompachi-mi.jpg	art-institute-chicago	CC0	CC0	Kitagawa Utamaro	c. 1800	https://www.artic.edu/iiif/2/66c4dafb-2f53-f5ac-b676-32cafbe5b6bd/full/full/0/default.jpg	7624	Color woodblock print; hashira-e	dfaca7489c8fd1eee7b8dfcc90d6a3336e923bfed4ce7068705e55a1652fd2ae	Komurasaki of the Miuraya and Shirai Gompachi (Miuraya Komurasaki, Shirai Gompachi)
