filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	art_license	artist	date	image_url	keyinfo	medium	sha256	title
3300_met_still-life-violin-and-music_10997_2832x3722.jpg	3300	met	still-life-violin-and-music_10997	2832	3722	jpg	2192792	10997_still-life-violin-and-music.jpg	met-museum	CC0	CC0	William Michael Harnett	1888	https://images.metmuseum.org/CRDImages/ad/original/DT2046.jpg	10997	Oil on canvas	9f3931f56099ee74a4100a3398add01d0d210d1bad857624c7c58023e0f34b6f	Still Life—Violin and Music
3301_met_marine_11597_1801x2140.jpg	3301	met	marine_11597	1801	2140	jpg	1345727	11597_marine.jpg	met-museum	CC0	CC0	Edward Moran	ca. 1871	https://images.metmuseum.org/CRDImages/ad/original/ap64.198.6.jpg	11597	Oil on canvas	482f60d55a6bb92827405866fbe9536f693ac25a770f926e8255d0abebfc717f	Marine
3302_met_landscape_11774_2362x1585.jpg	3302	met	landscape_11774	2362	1585	jpg	1464204	11774_landscape.jpg	met-museum	CC0	CC0	Jean Pillement	1800–1830	https://images.metmuseum.org/CRDImages/ad/original/ap46.67.83.jpg	11774	Oil on canvas	946977af60a9ff1f090fe32494cfdbcc220050ada9688bc382cc883442ff8dbd	Landscape
3303_met_wall-light-one-of-a-pair_206979_3811x3049.jpg	3303	met	wall-light-one-of-a-pair_206979	3811	3049	jpg	2547205	206979_wall-light-one-of-a-pair.jpg	met-museum	CC0	CC0	Vincennes Manufactory	birds 1662–1722, flowers and mounts ca. 1750	https://images.metmuseum.org/CRDImages/es/original/DT8899.jpg	206979	Glazed biscuit Chinese porcelain parrots of K'ang Hsi period; soft-paste Vincennes porcelain flowers; 19th century hard-paste flowers; gilt bronze	b961bdab6794ec5c1e85acadbe932669f944b097d597291174a090542e1dac23	Wall light (one of a pair)
3304_met_chinese-figure-with-bird_207138_2978x3722.jpg	3304	met	chinese-figure-with-bird_207138	2978	3722	jpg	1384689	207138_chinese-figure-with-bird.jpg	met-museum	CC0	CC0	Meissen Manufactory	ca. 1727, mounts and flowers ca. 1750	https://images.metmuseum.org/CRDImages/es/original/DT7115.jpg	207138	Hard-paste porcelain with gilt-bronze mounts and soft-paste porcelain flowers	2909b3281b0783dd697c769d2d54979d1295ea4de0b57c73afd0ce4aee871d3f	Chinese figure with bird
3305_met_portrait_226943_2257x2665.jpg	3305	met	portrait_226943	2257	2665	jpg	2562072	226943_portrait.jpg	met-museum	CC0	CC0	A. Bois	1855	https://images.metmuseum.org/CRDImages/es/original/127800.jpg	226943	Silk	61ac5da97ab7a1cc44ebf08d9f5e8160c35f0591e338d483c8417bae876ea1fa	Portrait
3306_met_shield_24693_4000x4000.jpg	3306	met	shield_24693	4000	4000	jpg	6403799	24693_shield.jpg	met-museum	CC0	CC0	Girolamo da Treviso	ca. 1535	https://images.metmuseum.org/CRDImages/aa/original/LC-42_50_16-030.jpg	24693	Wood, linen, gesso, gold leaf, polychromy	245bfc1c3da1f3f95c731c554c104154bb3f549ce640f10c13faf718e35756a4	Shield
3307_met_marine_337532_3795x2667.jpg	3307	met	marine_337532	3795	2667	jpg	2956624	337532_marine.jpg	met-museum	CC0	CC0	Edouard Manet	1865–66	https://images.metmuseum.org/CRDImages/dp/original/DP815233.jpg	337532	Etching, aquatint, roulette and bitten tone in brown ink on laid paper with partial watermark (fleur de lis in a cartouche), only state	8553b2e541e3b224d908095033354e6af686db3ba3370b41b0bd36ef774bc309	Marine
3308_met_marine_337533_3790x2664.jpg	3308	met	marine_337533	3790	2664	jpg	3199443	337533_marine.jpg	met-museum	CC0	CC0	Edouard Manet	1865–66	https://images.metmuseum.org/CRDImages/dp/original/DP815247.jpg	337533	Etching and aquatint on blue laid paper	816e8c1317b2de4829ec2478bcf1248eb04eb2e91f345cadae38f166e76587fb	Marine
3309_met_portrait_340070_2872x3623.jpg	3309	met	portrait_340070	2872	3623	jpg	2211471	340070_portrait.jpg	met-museum	CC0	CC0	Anonymous, Italian, Roman-Bolognese, 17th century	17th century	https://images.metmuseum.org/CRDImages/dp/original/DP802992.jpg	340070	Red chalk on light tan paper	2a16ce5cdbfb943f8fedd37533188e923a739fffabe03cf79570a822bc33a45c	Portrait
