filename	cls	native_mode	w	h	mp	color_frac	mean_chroma	max_chroma	n_gray_levels	extreme_frac
color/nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	color	RGB	4961	7016	34.8	0.5582805001014757	32.512654261966254	255	256	0.44937651653248817
color/nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	color	RGB	7016	4961	34.8	0.721955741672158	32.96852840985226	255	256	0.2987891931064584
color/nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	color	RGB	5561	7616	42.4	0.3073113191509296	17.55602443166621	214	256	0.5467608865160882
color/nps_nps-blca-Black_Canyon_unigrid_2023_508_web_p01.png	color	RGB	7016	4961	34.8	0.4679883363898614	18.17363666358141	212	256	0.3766636319736361
color/nps_nps-blca-Black_Canyon_unigrid_2023_508_web_p02.png	color	RGB	7016	4961	34.8	0.7010825832600326	21.78995882823308	255	256	0.7198007916710433
color/nps_nps-cany-ISKY-Backcountry-Zone-Map-Final-508_p01.png	color	RGB	2550	3300	8.4	0.3259527035056447	13.532619370172311	187	256	0.6526901960784314
grayscale/nps_nps-cany-IslandRoadsandTrailsUpdated24-508forweb_p01.png	grayscale	RGB	2550	4200	10.7	3.1746031746031746e-06	0.5042083099906629	116	254	0.9431050420168067
grayscale/nps_nps-cany-IslandRoadsandTrailsUpdated24-508forweb_p02.png	grayscale	RGB	2550	4200	10.7	0.0	0.21119654528478057	4	225	0.9690961718020542
color/nps_nps-care-CARE_Unigrid-map-2021_p01.png	color	RGB	4961	7016	34.8	0.7355867786982477	23.9382348222636	255	256	0.6269636344789242
grayscale/nps_nps-care-Fruita-Area-Map-and-Guide_p01.png	grayscale	RGB	3300	5100	16.8	0.0	0.5426102198455139	7	249	0.9496663101604278
grayscale/nps_nps-care-Fruita-Area-Map-and-Guide_p02.png	grayscale	RGB	3300	5100	16.8	0.0	0.9762079619726679	7	250	0.7879804515745692
grayscale/nps_nps-chis-Santa-Rosa-Hiking-Map-and-Guide-October-2023v2-ADA_p01.png	grayscale	RGB	2550	4200	10.7	0.0	0.8968747899159664	5	225	0.8303487394957983
grayscale/nps_nps-chis-Santa-Rosa-Hiking-Map-and-Guide-October-2023v2-ADA_p02.png	grayscale	RGB	2550	4200	10.7	0.0	2.6579607843137256	5	229	0.4666802987861811
grayscale/nps_nps-chis-ai-hiking-2022-ADA_p01.png	grayscale	RGB	2550	3300	8.4	0.0	0.0057459298871063574	1	256	0.8268462269756387
grayscale/nps_nps-chis-ai-hiking-2022-ADA_p02.png	grayscale	RGB	2550	3300	8.4	0.0	0.10617017231134879	5	256	0.5695524658348188
color/nps_nps-choh-Great-Falls-Hiking-Map_p01.png	color	RGB	3300	2550	8.4	0.11123850267379679	4.999390612002377	174	256	0.8932682115270351
color/nps_nps-dena-trail-map-letter-size_p01.png	color	RGB	2550	3300	8.4	0.5268710635769459	23.9873963161022	209	255	0.4298116458704694
color/nps_nps-deva-508-Backcountry-and-Wilderness-Access-map__p01.png	color	RGB	4800	6900	33.1	0.26541660628019326	15.059577083333334	210	256	0.6944446256038648
color/nps_nps-deva-508-Backcountry-and-Wilderness-Access-map__p02.png	color	RGB	4800	6900	33.1	0.15688109903381642	12.739421105072465	255	256	0.7998291364734299
grayscale/nps_nps-deva-Routes-from-Las-Vegas_p01.png	grayscale	RGB	2550	3300	8.4	0.0	0.26054973262032083	6	244	0.9687352346999406
color/nps_nps-dewa-DingmansCampgroundMap-1-508-Compliant_p01.png	color	RGB	2550	3300	8.4	0.7208647653000594	43.99105276292335	255	256	0.7362852049910873
color/nps_nps-fova-MCHO-Map-Accessible-PDF_p01.png	color	RGB	716	714	0.5	0.8265672190663975	18.101697103422374	74	256	0.8919886390310314
color/nps_nps-grca-GRCAmap2_p01.png	color	RGB	3000	2250	6.8	0.23943822222222222	14.366125037037037	196	256	0.6664592592592593
color/nps_nps-grca-sr-pocket-map_p01.png	color	RGB	9355	2481	23.2	0.46986446000830256	29.8989792007714	255	256	0.4155007668111964
color/nps_nps-grca-sr-pocket-map_p02.png	color	RGB	9355	2481	23.2	0.7584209742843042	30.411048931796135	253	256	0.4735610091532634
color/nps_nps-grsm-GRSM_Area_Map_p01.png	color	RGB	10182	5460	55.6	0.42156738207121236	36.07504514898445	255	256	0.8873581404518353
color/nps_nps-grsm-GRSM_Trail_Map_p01.png	color	RGB	9146	5272	48.2	0.32641899308702166	19.990719738008305	255	256	0.8848563573485195
color/nps_nps-katm-KATM_Park-Map_for_web_p01.png	color	RGB	5650	5200	29.4	0.44728883594281826	20.592124608577265	227	256	0.9230583049693669
grayscale/nps_nps-lake-Approved-Backcountry-Roads-Hoover-Dam-Area-2018_p01.png	grayscale	RGB	2550	3300	8.4	0.0008608437314319668	0.20050600118835413	136	256	0.7974906714200832
grayscale/nps_nps-mora-CougarRock2006_p01.png	grayscale	RGB	3300	2550	8.4	0.0	0.005019607843137255	2	256	0.9760142602495544
grayscale/nps_nps-mora-Ohanapecosh7-2019__p01.png	grayscale	RGB	2550	3300	8.4	0.0	0.18190588235294117	11	225	0.9756231729055258
grayscale/nps_nps-muwo-map-muwo-trail-2019-small_p01.png	grayscale	RGB	3300	2550	8.4	0.0	2.63087284610814	13	256	0.8027610219845513
grayscale/nps_nps-muwo-map-muwo-trail-2019-small_p02.png	grayscale	RGB	3300	2550	8.4	0.0	1.0447094474153298	13	256	0.9351523469994059
color/nps_nps-npsa-Area_Map_p01.png	color	RGB	6300	2475	15.6	0.7498468494468494	44.11532890812891	230	256	0.2584236652236652
color/nps_nps-npsa-Area_Map_p02.png	color	RGB	6300	2475	15.6	0.8007806317139651	36.26358608305275	255	256	0.77766278659612
color/nps_nps-pinn-2019-map-update-DRAFT-2_p01.png	color	RGB	4800	7200	34.6	0.17504369212962964	10.915482204861112	201	256	0.8304986979166666
color/nps_nps-pinn-2019-map-update-DRAFT-CROPPED2_p01.png	color	RGB	1685	1305	2.2	0.4942683356640176	17.462535102379572	201	256	0.4494568937094262
grayscale/nps_nps-redw-HorseTrails_SB_2021-508-2_p01.png	grayscale	RGB	2550	4200	10.7	0.0	1.6971288515406162	16	225	0.8174473389355742
color/nps_nps-redw-HorseTrails_SB_2021-508-2_p03.png	color	RGB	2550	4200	10.7	0.5437749766573295	32.92011932773109	255	256	0.505685060690943
grayscale/nps_nps-romo-2018_Longs-Peak-Keyhole-Route-Site-Bulletin-print_PDF-Remediated-July-2025_p01.png	grayscale	RGB	2550	4200	10.7	0.0	1.3492799253034546	5	224	0.7678979458450047
grayscale/nps_nps-romo-2018_Longs-Peak-Keyhole-Route-Site-Bulletin-print_PDF-Remediated-July-2025_p02.png	grayscale	RGB	2550	4200	10.7	0.0	2.895677964519141	5	224	0.32913221288515404
grayscale/nps_nps-romo-Moraine-Park-Campground-Map-2025_p01.png	grayscale	RGB	4200	2550	10.7	0.0	0.20889318394024275	5	245	0.9629429505135387
color/nps_nps-samo-BackboneTrail_2023_p01.png	color	RGB	2550	4200	10.7	0.1503140056022409	10.545786741363212	208	256	0.7505196078431372
color/nps_nps-samo-BackboneTrail_2023_p02.png	color	RGB	2550	4200	10.7	0.6951053221288516	32.72843790849673	188	256	0.42982903828197944
grayscale/nps_nps-seki-20210826-Unigrid-French-508_p01.png	grayscale	RGB	2550	4200	10.7	0.0	0.25145518207282913	12	256	0.9472704014939309
grayscale/nps_nps-seki-20210826-Unigrid-French-508_p02.png	grayscale	RGB	2550	4200	10.7	0.0	0.21268459383753502	3	225	0.9645464985994397
grayscale/nps_nps-seki-20210826-Unigrid-German-508_p01.png	grayscale	RGB	2550	4200	10.7	0.0	0.2466330532212885	12	256	0.9488860877684407
grayscale/nps_nps-seki-20210826-Unigrid-German-508_p02.png	grayscale	RGB	2550	4200	10.7	0.0	0.21072082166199813	3	225	0.965718487394958
grayscale/nps_nps-shen-Bearfence_RoadTrail_p01.png	grayscale	RGB	2550	3300	8.4	0.0	0.03862792632204397	5	256	0.9811612596553773
grayscale/nps_nps-shen-Bearfence_RoadTrail_p02.png	grayscale	RGB	2550	3300	8.4	0.0	0.34762115270350563	8	256	0.9348342245989305
grayscale/nps_nps-shen-BigMeadows_RoadTrail_p01.png	grayscale	RGB	2550	3300	8.4	0.0	0.12869851455733808	5	256	0.9641928698752228
grayscale/nps_nps-shen-BigMeadows_RoadTrail_p02.png	grayscale	RGB	2550	3300	8.4	0.0	0.3709693404634581	8	256	0.930754486036839
color/nps_nps-whsa-WHSA_Unigrid_2022_p01.png	color	RGB	4961	5847	29.0	0.48948178553104155	31.61330920947371	191	256	0.4440579051232761
color/nps_nps-whsa-WHSA_Unigrid_2022_p02.png	color	RGB	4961	5847	29.0	0.5669971976042859	26.391257796790683	255	256	0.43364881960944074
color/nps_nps-wrst-WRST_Unigrid_Chinese-508-reduced_p01.png	color	RGB	4961	7016	34.8	0.5970323081035498	23.343505770322082	234	256	0.5537219100316563
color/nps_nps-wrst-WRST_Unigrid_Chinese-508-reduced_p02.png	color	RGB	4961	7016	34.8	0.5221360304790134	22.099921089170557	250	256	0.5863545518211951
