filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	keyinfo
5200_epa_climate-impact-2021_cover_p001_2968x3841.png	5200	epa	climate-impact-2021_cover_p001	2968	3841	png	1801239	01_p001_cover.png	epa	PD-USGov	cover|p001
5201_epa_climate-impact-2021_exec-summary-vulnerable-groups-table_p004_2968x3841.png	5201	epa	climate-impact-2021_exec-summary-vulnerable-groups-table_p004	2968	3841	png	1929188	02_p004_exec-summary-vulnerable-groups-table.png	epa	PD-USGov	exec-summary-vulnerable-groups-table|p004
5202_epa_climate-impact-2021_fig-es1-six-impacts_p005_2968x3841.png	5202	epa	climate-impact-2021_fig-es1-six-impacts_p005	2968	3841	png	1686279	03_p005_fig-ES1-six-impacts.png	epa	PD-USGov	fig-es1-six-impacts|p005
5203_epa_climate-impact-2021_key-findings-by-race-ethnicity_p006_2968x3841.png	5203	epa	climate-impact-2021_key-findings-by-race-ethnicity_p006	2968	3841	png	1847931	04_p006_key-findings-by-race-ethnicity.png	epa	PD-USGov	key-findings-by-race-ethnicity|p006
5204_epa_climate-impact-2021_key-findings-income-education-age_p007_2968x3841.png	5204	epa	climate-impact-2021_key-findings-income-education-age_p007	2968	3841	png	2342882	05_p007_key-findings-income-education-age.png	epa	PD-USGov	key-findings-income-education-age|p007
5205_epa_climate-impact-2021_fig-es2-disproportionate-risk-chart_p008_2968x3841.png	5205	epa	climate-impact-2021_fig-es2-disproportionate-risk-chart_p008	2968	3841	png	739717	06_p008_fig-ES2-disproportionate-risk-chart.png	epa	PD-USGov	fig-es2-disproportionate-risk-chart|p008
5206_epa_climate-impact-2021_introduction-who-is-vulnerable_p009_2968x3841.png	5206	epa	climate-impact-2021_introduction-who-is-vulnerable_p009	2968	3841	png	1381584	07_p009_introduction-who-is-vulnerable.png	epa	PD-USGov	introduction-who-is-vulnerable|p009
5207_epa_climate-impact-2021_approach-4-step-methodology_p011_2968x3841.png	5207	epa	climate-impact-2021_approach-4-step-methodology_p011	2968	3841	png	844722	08_p011_approach-4-step-methodology.png	epa	PD-USGov	approach-4-step-methodology|p011
5208_epa_climate-impact-2021_airquality-results-maps_p022_2968x3841.png	5208	epa	climate-impact-2021_airquality-results-maps_p022	2968	3841	png	1573114	09_p022_airquality-results-maps.png	epa	PD-USGov	airquality-results-maps|p022
5209_epa_climate-impact-2021_airquality-key-findings-childhood-asthma_p030_2968x3841.png	5209	epa	climate-impact-2021_airquality-key-findings-childhood-asthma_p030	2968	3841	png	885921	10_p030_airquality-key-findings-childhood-asthma.png	epa	PD-USGov	airquality-key-findings-childhood-asthma|p030
5210_epa_climate-impact-2021_extreme-temp-health-mortality-map_p034_2968x3841.png	5210	epa	climate-impact-2021_extreme-temp-health-mortality-map_p034	2968	3841	png	1406298	11_p034_extreme-temp-health-mortality-map.png	epa	PD-USGov	extreme-temp-health-mortality-map|p034
5211_epa_climate-impact-2021_extreme-temp-labor-heatloss-maps_p039_2968x3841.png	5211	epa	climate-impact-2021_extreme-temp-labor-heatloss-maps_p039	2968	3841	png	1547712	12_p039_extreme-temp-labor-heatloss-maps.png	epa	PD-USGov	extreme-temp-labor-heatloss-maps|p039
5212_epa_climate-impact-2021_extreme-temp-labor-key-findings_p043_2968x3841.png	5212	epa	climate-impact-2021_extreme-temp-labor-key-findings_p043	2968	3841	png	889436	13_p043_extreme-temp-labor-key-findings.png	epa	PD-USGov	extreme-temp-labor-key-findings|p043
5213_epa_climate-impact-2021_coastal-flooding-traffic-findings_p048_2968x3841.png	5213	epa	climate-impact-2021_coastal-flooding-traffic-findings_p048	2968	3841	png	1859750	14_p048_coastal-flooding-traffic-findings.png	epa	PD-USGov	coastal-flooding-traffic-findings|p048
5214_epa_climate-impact-2021_coastal-flooding-property-inundation-maps_p057_2968x3841.png	5214	epa	climate-impact-2021_coastal-flooding-property-inundation-maps_p057	2968	3841	png	1136748	15_p057_coastal-flooding-property-inundation-maps.png	epa	PD-USGov	coastal-flooding-property-inundation-maps|p057
5215_epa_climate-impact-2021_coastal-flooding-property-key-findings_p058_2968x3841.png	5215	epa	climate-impact-2021_coastal-flooding-property-key-findings_p058	2968	3841	png	1547795	16_p058_coastal-flooding-property-key-findings.png	epa	PD-USGov	coastal-flooding-property-key-findings|p058
5216_epa_climate-impact-2021_inland-flooding-opener_p068_2968x3841.png	5216	epa	climate-impact-2021_inland-flooding-opener_p068	2968	3841	png	2571850	17_p068_inland-flooding-opener.png	epa	PD-USGov	inland-flooding-opener|p068
5217_epa_climate-impact-2021_inland-flooding-national-risk-map_p069_2968x3841.png	5217	epa	climate-impact-2021_inland-flooding-national-risk-map_p069	2968	3841	png	1680476	18_p069_inland-flooding-national-risk-map.png	epa	PD-USGov	inland-flooding-national-risk-map|p069
5218_epa_climate-impact-2021_national-results-narrative_p076_2968x3841.png	5218	epa	climate-impact-2021_national-results-narrative_p076	2968	3841	png	1688332	19_p076_national-results-narrative.png	epa	PD-USGov	national-results-narrative|p076
5219_epa_climate-impact-2021_fig-9-1-master-chart-4groups-6impacts_p077_2968x3841.png	5219	epa	climate-impact-2021_fig-9-1-master-chart-4groups-6impacts_p077	2968	3841	png	933831	20_p077_fig-9.1-master-chart-4groups-6impacts.png	epa	PD-USGov	fig-9-1-master-chart-4groups-6impacts|p077
5220_epa_climate-impact-2021_fig-9-2-amerindian-alaskanative-asian_p078_2968x3841.png	5220	epa	climate-impact-2021_fig-9-2-amerindian-alaskanative-asian_p078	2968	3841	png	643173	21_p078_fig-9.2-amerindian-alaskanative-asian.png	epa	PD-USGov	fig-9-2-amerindian-alaskanative-asian|p078
5221_epa_climate-impact-2021_fig-9-2-black-aa-hispanic-latino_p079_2968x3841.png	5221	epa	climate-impact-2021_fig-9-2-black-aa-hispanic-latino_p079	2968	3841	png	462080	22_p079_fig-9.2-black-aa-hispanic-latino.png	epa	PD-USGov	fig-9-2-black-aa-hispanic-latino|p079
5222_epa_climate-impact-2021_fig-9-2-pacificislander-white_p080_2968x3841.png	5222	epa	climate-impact-2021_fig-9-2-pacificislander-white_p080	2968	3841	png	455217	23_p080_fig-9.2-pacificislander-white.png	epa	PD-USGov	fig-9-2-pacificislander-white|p080
5223_epa_climate-impact-2021_regional-results-map_p081_2968x3841.png	5223	epa	climate-impact-2021_regional-results-map_p081	2968	3841	png	1164497	24_p081_regional-results-map.png	epa	PD-USGov	regional-results-map|p081
5224_epa_climate-impact-2021_southern-great-plains-77pct-asthma_p085_2968x3841.png	5224	epa	climate-impact-2021_southern-great-plains-77pct-asthma_p085	2968	3841	png	735420	25_p085_southern-great-plains-77pct-asthma.png	epa	PD-USGov	southern-great-plains-77pct-asthma|p085
