filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	keyinfo	pd_basis	sha256	source_class	source_description	source_url
5300_noaa_nhc-verification-report-2024_page1_p01_2550x3300.png	5300	noaa	nhc-verification-report-2024_page1_p01	2550	3300	png	1490493	noaa-nhc-2024_verification-report_p01_page1.png	noaa	PD-USGov	page1|p01	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	3ab005540010a066f77f20458cb0f54cf012d49f19f74cc3ec41677b8bc64c02	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5301_noaa_nhc-verification-report-2024_charts_p05_2550x3300.png	5301	noaa	nhc-verification-report-2024_charts_p05	2550	3300	png	960121	noaa-nhc-2024_verification-report_p05_charts.png	noaa	PD-USGov	charts|p05	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	35cd19b2cd2ad451d66f8cbee756acb90b482e0a8615050c7970c69fdc9ef11c	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5302_noaa_nhc-helene-al092024_cover_p01_2550x3300.png	5302	noaa	nhc-helene-al092024_cover_p01	2550	3300	png	1885818	noaa-nhc-AL092024_Helene_p01_cover.png	noaa	PD-USGov	cover|p01	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	4f107517246cedf5354544e33d02c90d468be773594c6d5f987d6b8bf9b61b9b	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5303_noaa_nhc-helene-al092024_map_p09_2550x3300.png	5303	noaa	nhc-helene-al092024_map_p09	2550	3300	png	554295	noaa-nhc-AL092024_Helene_p09_map.png	noaa	PD-USGov	map|p09	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	bb546ab221b820336b4c2ffec3a54ea87c75937376736e3d391470a543265ab2	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5304_noaa_nhc-helene-al092024_text-body_p25_2550x3300.png	5304	noaa	nhc-helene-al092024_text-body_p25	2550	3300	png	770313	noaa-nhc-AL092024_Helene_p25_text-body.png	noaa	PD-USGov	text-body|p25	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	f0ca887458dcca21f1e7ba2af31116a67d8cef1cd57fcefb7546e553f166b980	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5305_noaa_nhc-milton-al142024_cover_p01_2550x3300.png	5305	noaa	nhc-milton-al142024_cover_p01	2550	3300	png	3867364	noaa-nhc-AL142024_Milton_p01_cover.png	noaa	PD-USGov	cover|p01	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	41bbb2d6b59b451f50bf2ed870e8e2e42535e09201d8f33ff1be56b0a7f8ad71	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5306_noaa_nhc-milton-al142024_map_p07_2550x3300.png	5306	noaa	nhc-milton-al142024_map_p07	2550	3300	png	841132	noaa-nhc-AL142024_Milton_p07_map.png	noaa	PD-USGov	map|p07	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	11a34f05ea0a3cdf491f4c5ea03e8a6ebc00c0a49e6f7464dea1f224d605ab24	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5307_noaa_nhc-milton-al142024_text-body_p19_2550x3300.png	5307	noaa	nhc-milton-al142024_text-body_p19	2550	3300	png	527023	noaa-nhc-AL142024_Milton_p19_text-body.png	noaa	PD-USGov	text-body|p19	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	b2f65d3acfb9e0f69589ad3fccae74cc1c3673cca247e957291a8d789f98394c	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5308_noaa_nhc-al022024-beryl_p01_2550x3300.png	5308	noaa	nhc-al022024-beryl_p01	2550	3300	png	2180774	noaa_noaa-nhc-AL022024_Beryl_p01.png	noaa	PD-USGov	p01	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	ff4cd87728467925a9ec9013d9b71b6fc5458acee2692ce3087fc7d3b20b1373	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
5309_noaa_nhc-al022024-beryl_p26_2550x3300.png	5309	noaa	nhc-al022024-beryl_p26	2550	3300	png	545710	noaa_noaa-nhc-AL022024_Beryl_p26.png	noaa	PD-USGov	p26	PD: 17 USC §105 — NOAA NHC staff work product. NWS/NHC reports are by NOAA federal employees; no contractor-mix concern (unlike many NASA TMs).	11f88fa292d6531d89e8617af194db5743cdb71290c3f365a1d07a160e34c7dd	NOAA	NOAA NHC tropical cyclone reports + verification reports (NWS / National Hurricane Center)	https://www.nhc.noaa.gov/data/tcr/
