filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_1bitoriginal/6000_scans-patents_lynn-conway-us5046022-1bit_p001_2320x3408.png	6000	scans-patents	lynn-conway-us5046022-1bit_p001	2320	3408	png	129218	page_001.png	uspto	PD	lynn-conway	1	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6001_scans-patents_lynn-conway-us5046022-1bit_p002_2320x3408.png	6001	scans-patents	lynn-conway-us5046022-1bit_p002	2320	3408	png	62637	page_002.png	uspto	PD	lynn-conway	2	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6002_scans-patents_lynn-conway-us5046022-1bit_p003_2320x3408.png	6002	scans-patents	lynn-conway-us5046022-1bit_p003	2320	3408	png	66468	page_003.png	uspto	PD	lynn-conway	3	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6003_scans-patents_lynn-conway-us5046022-1bit_p004_2320x3408.png	6003	scans-patents	lynn-conway-us5046022-1bit_p004	2320	3408	png	62699	page_004.png	uspto	PD	lynn-conway	4	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6004_scans-patents_lynn-conway-us5046022-1bit_p005_2320x3408.png	6004	scans-patents	lynn-conway-us5046022-1bit_p005	2320	3408	png	80573	page_005.png	uspto	PD	lynn-conway	5	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6005_scans-patents_lynn-conway-us5046022-1bit_p006_2320x3408.png	6005	scans-patents	lynn-conway-us5046022-1bit_p006	2320	3408	png	51068	page_006.png	uspto	PD	lynn-conway	6	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6006_scans-patents_lynn-conway-us5046022-1bit_p007_2320x3408.png	6006	scans-patents	lynn-conway-us5046022-1bit_p007	2320	3408	png	68578	page_007.png	uspto	PD	lynn-conway	7	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6007_scans-patents_lynn-conway-us5046022-1bit_p008_2320x3408.png	6007	scans-patents	lynn-conway-us5046022-1bit_p008	2320	3408	png	57864	page_008.png	uspto	PD	lynn-conway	8	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6008_scans-patents_lynn-conway-us5046022-1bit_p009_2320x3408.png	6008	scans-patents	lynn-conway-us5046022-1bit_p009	2320	3408	png	185627	page_009.png	uspto	PD	lynn-conway	9	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6009_scans-patents_lynn-conway-us5046022-1bit_p010_2320x3408.png	6009	scans-patents	lynn-conway-us5046022-1bit_p010	2320	3408	png	181075	page_010.png	uspto	PD	lynn-conway	10	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6010_scans-patents_lynn-conway-us5046022-1bit_p011_2320x3408.png	6010	scans-patents	lynn-conway-us5046022-1bit_p011	2320	3408	png	188422	page_011.png	uspto	PD	lynn-conway	11	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6011_scans-patents_lynn-conway-us5046022-1bit_p012_2320x3408.png	6011	scans-patents	lynn-conway-us5046022-1bit_p012	2320	3408	png	188070	page_012.png	uspto	PD	lynn-conway	12	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6012_scans-patents_lynn-conway-us5046022-1bit_p013_2320x3408.png	6012	scans-patents	lynn-conway-us5046022-1bit_p013	2320	3408	png	180097	page_013.png	uspto	PD	lynn-conway	13	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6013_scans-patents_lynn-conway-us5046022-1bit_p014_2320x3408.png	6013	scans-patents	lynn-conway-us5046022-1bit_p014	2320	3408	png	184538	page_014.png	uspto	PD	lynn-conway	14	us5046022	1bit
lynn_conway_us5046022_1bitoriginal/6014_scans-patents_lynn-conway-us5046022-1bit_p015_2320x3408.png	6014	scans-patents	lynn-conway-us5046022-1bit_p015	2320	3408	png	186953	page_015.png	uspto	PD	lynn-conway	15	us5046022	1bit
