filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	contributor	ia_identifier	keyinfo	page_index	pd_basis	sha256	source_url	source_work
6600_scans-illustrations_haeckel-cephalopods_plate0007_4988x7151.png	6600	scans-illustrations	haeckel-cephalopods_plate0007	4988	7151	png	48130375	haeckel_0007_cephalopods.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0007	0007	pub 1899; Haeckel d.1919 → PD worldwide	720997176d6161663b5d60e482334bf8440140e66652054b7fd769943ea9223e	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6601_scans-illustrations_haeckel-radiolaria-green_plate0034_4892x7178.png	6601	scans-illustrations	haeckel-radiolaria-green_plate0034	4892	7178	png	48025751	haeckel_0034_radiolaria-green.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0034	0034	pub 1899; Haeckel d.1919 → PD worldwide	74edb13dac79e469163323e416633ca8687a2e1a1dc76b5bb1dd20c93b0effef	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6602_scans-illustrations_haeckel-starfish_plate0040_4961x7277.png	6602	scans-illustrations	haeckel-starfish_plate0040	4961	7277	png	49465038	haeckel_0040_starfish.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0040	0040	pub 1899; Haeckel d.1919 → PD worldwide	20a4b7c4af3e16bef846e4e6692c9ae11da0e4045aa52b7914292b28b804803f	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6603_scans-illustrations_haeckel-trilobites_plate0047_4808x7108.png	6603	scans-illustrations	haeckel-trilobites_plate0047	4808	7108	png	55638874	haeckel_0047_trilobites.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0047	0047	pub 1899; Haeckel d.1919 → PD worldwide	ab9cc36fcf73103c5179c23f2cef91c92c64d9ee4dae4f63f8a976a86ba79447	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6604_scans-illustrations_haeckel-moths_plate0058_4865x7207.png	6604	scans-illustrations	haeckel-moths_plate0058	4865	7207	png	84041034	haeckel_0058_moths.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0058	0058	pub 1899; Haeckel d.1919 → PD worldwide	16e8f777559ce2ec2c253516b5b67c136ec7741821a32940a2fa3b0636268fcd	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6605_scans-illustrations_haeckel-pitcher-plants_plate0062_4988x7412.png	6605	scans-illustrations	haeckel-pitcher-plants_plate0062	4988	7412	png	52651644	haeckel_0062_pitcher-plants.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0062	0062	pub 1899; Haeckel d.1919 → PD worldwide	aa9a3df0e6cf12e1b52693aa1f6bbb28e220ff83aff7a1abec2b0eff08cb0fcb	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6606_scans-illustrations_haeckel-red-algae_plate0065_5015x7275.png	6606	scans-illustrations	haeckel-red-algae_plate0065	5015	7275	png	60389391	haeckel_0065_red-algae.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0065	0065	pub 1899; Haeckel d.1919 → PD worldwide	12221ee99aa9eec8dae080715d648b35094a73bc9172409bfeccea2a8e82b4c8	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6607_scans-illustrations_haeckel-radiolaria-spheres_plate0090_4918x7246.png	6607	scans-illustrations	haeckel-radiolaria-spheres_plate0090	4918	7246	png	62680544	haeckel_0090_radiolaria-spheres.png	internet-archive	PD	PD Mark 1.0	KunstformenDerNaturErnstHaeckel	plate0090	0090	pub 1899; Haeckel d.1919 → PD worldwide	dae08ec4112fb7eb9ed791dfca53b45cb729898b8d1ab5dc0b6043685f1b7e93	https://archive.org/details/KunstformenDerNaturErnstHaeckel	Haeckel — Kunstformen der Natur, plates (1899–1904)
6608_scans-illustrations_hokusai-figure-studies_plate0006_6030x4806.png	6608	scans-illustrations	hokusai-figure-studies_plate0006	6030	4806	png	31299886	hokusai_0006_figure-studies.png	internet-archive	PD	Smithsonian Libraries	denshinkaishuhov1kats	plate0006	0006	Smithsonian: Public domain; pub 1828; d.1849 → PD worldwide	e1e8078ca19835b65a6cd2c167cde8b498e903df5449a63e41641f51a1f5447b	https://archive.org/details/denshinkaishuhov1kats	Hokusai — Denshin kaishu Manga (1828)
6609_scans-illustrations_hokusai-insects-creatures_plate0019_6234x4925.png	6609	scans-illustrations	hokusai-insects-creatures_plate0019	6234	4925	png	31924484	hokusai_0019_insects-creatures.png	internet-archive	PD	Smithsonian Libraries	denshinkaishuhov1kats	plate0019	0019	Smithsonian: Public domain; pub 1828; d.1849 → PD worldwide	8f545699ee542840f5141a13dd295f921f41b2c2e11514084e3172b9aec0057d	https://archive.org/details/denshinkaishuhov1kats	Hokusai — Denshin kaishu Manga (1828)
