origin_id	origin_sha256	op_chain	kernel	sharpen	colorspace_path	selection_method	selection_param	rank	cumulative_gp	generator	generator_commit	out_path	out_sha256	width	height	split
1064	4a006c6581a7ca4ec377e611d6c8758294cb9c70ffd8df2b4db4584ea2c43190	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.hdr.scale375x500.png	0aafbacebd0cc8a9cd130862fde62dc4e062ece37a35b3e65d2c65e0c83d64e2	375	500	train
1065	6cbd1cac9ed71579cbdb441a6bfd67f3e981b75fd9f48e7f66300f9705e9a336	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.hdr.scale375x500.png	9949ce5eeee34a29ebbd2355933da729505943d03545e0d1e3f2601a8672e1cf	375	500	validate
1066	7dea964074a1fd0cde4e6e664f884cff488fa385e3d62a197619971b2a152a35	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.hdr.scale375x500.png	b1a99e50cbae6fa7a403e6b2133c3308b21b0795446a8535324dc7bfd6d73223	375	500	train
1067	739f82454dcaea7752137505a1b331440d38efae195a349b3712ed38505cdbd6	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1067_general_architectural-model-display_la-pedrera-barcelona_zfold7_iso500-f1p7_20260319-185645_3000x4000.hdr.scale375x500.png	1a6e7bb246a36cc9cf8e5298baa346afc4d5495f6575ba1e4aad6dfe64340961	375	500	test
1069	bd1daf524be516d4cfbcd7c4975280de96880d34eed7b1e6242c63b1a3603add	scale358x478	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1069_general_illuminated-castle-night_cinderella-castle-orange_ip13pro_iso500-f1p5_img-7653_2870x3827.hdr.scale358x478.png	923fce90f2ec6c6d159034ff6cec72fbba8b533071618a10520994812881cbe2	358	478	test
1070	b73d4bcffe2050c6c294e6ef14cf1b19e1b7a36c97efe8a8b95aef6b34c44eec	scale504x378	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1070_general_stone-temple-ruins_ip13pro_iso50-f1p5_img-8852_4032x3024.hdr.scale504x378.png	c0d9f80279d8747cc2c46a2444ef6da53fc88097c83960dc7befe0bf48fe1c20	504	378	train
1227	d684a486bd77c6bcba92bef3b6e5acfc7ab3276c4c8867b91bdac2af015b93d8	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1227_interiors_stained-glass-window_casa-batllo-barcelona_zfold7_iso1600-f1p7_20260315-205230_3000x4000.hdr.scale375x500.png	f886d2c0a78a9d4dd1d3175bb54f9d373d5976badd156cff73f8a8a457e8e7fb	375	500	test
1228	2bbbb83deb7412797044549688d624e7177efe77d33ac4e4118331b3b058f167	scale500x375	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1228_interiors_stained-glass-windows_casa-batllo-barcelona_zfold7_iso2500-f1p7_20260315-205328_4000x3000.hdr.scale500x375.png	212f5cb7e5f7521ba8780ca55c0fc837b7d4c9df9082fa1a616a4bca6c507fe6	500	375	train
1229	960dca4ae8e66dda015785f705d61d9c782fd8e5e5941eb68a05d547bec563fc	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1229_interiors_lighted-archway-ceiling_casa-batllo-barcelona_zfold7_iso1250-f1p7_20260315-210321_3000x4000.hdr.scale375x500.png	2f0e8af70824b2f09f94a8cafc0cdb18ad79a962906f8466769f042c1893591e	375	500	test
1230	075c4dac6bd7d97603c437b1400b5f4a71d38b9057f5ec4c362922492a44f37c	scale375x500	mitchell	0	linear-light-pq	list	1/8			make_variant_set.py	9830bc9	1230_interiors_empty-tiled-pool_casa-batllo-barcelona_zfold7_iso640-f1p7_20260315-210432_3000x4000.hdr.scale375x500.png	d0f8de546bf0852e8ab3f9e5d61e930932362fdf6d7520e14d87edbb41c8c528	375	500	train
