image_path	crop_label	content_class
1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_4000x3000.jpg	full	1000-lilith-photos-general
1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_4000x3000.jpg	full	1000-lilith-photos-general
1000-lilith-photos-general/1017_general_abstract-sculpture-installation_seattle-center-seattle_s23u_iso500-f1p7_20230727-173843_4000x2252.jpg	full	1000-lilith-photos-general
1200-lilith-interiors/1207_interiors_bedroom-with-bed_hotel-zentik-project-valladolid_s23u_iso1600-f1p7_20230917-183439_4000x3000.jpg	full	1200-lilith-interiors
1200-lilith-interiors/1209_interiors_traditional-tiled-roof-building_himeji-castle-himeji_s23u_iso64-f2p2_20231105-153905_4000x3000.heic	full	1200-lilith-interiors
1200-lilith-interiors/1217_interiors_modern-lounge-seating-area_s23u_iso640-f1p7_20240429-231830_4000x3000.jpg	full	1200-lilith-interiors
1400-lilith-nature/1407_nature_rocky-coastline-ocean_20210608-132404-2_8160x6120.jpg	full	1400-lilith-nature
1400-lilith-nature/1409_nature_rainbow-over-landscape_maui-hawaii_s21u_iso16-f1p8_20210608-165509_4000x3000.jpg	full	1400-lilith-nature
1400-lilith-nature/1417_nature_person-snowboarding-downhill_colorado_s21u_iso50-f2p2_20230129-121215_4000x3000.jpg	full	1400-lilith-nature
1600-lilith-food/1607_food_grilled-seafood-plate_s21u_iso1250-f1p8_20221210-191616_4000x3000.jpg	full	1600-lilith-food
1600-lilith-food/1609_food_tray-of-food_kurama-kibune-cho-kyoto-japan_s23u_iso100-f2p2_20230711-123756_4000x3000.jpg	full	1600-lilith-food
1600-lilith-food/1617_food_ice-cream_s23u_iso64-f1p7_20231104-123933_4000x3000.jpg	full	1600-lilith-food
2000-unsplash-people/2007_people_by-dwayne-joe-6-rwiq8vbks-unsplash_2624x3936.jpg	full	2000-unsplash-people
2000-unsplash-people/2009_people_by-ellen-qin-l0wmb86ymi8-unsplash_2304x4096.jpg	full	2000-unsplash-people
2000-unsplash-people/2017_people_by-kateryna-hliznitsova-ttpz0t24e0c-unsplash_3157x4712.jpg	full	2000-unsplash-people
2200-unsplash-renders/2207_renders_abstract-contour-pattern_by-matt-str-l5btvo8eeyq-unsplash_11514x8635.jpg	full	2200-unsplash-renders
2200-unsplash-renders/2209_renders_human-figure-render_by-nick-andreka-ynebo2q91oq-unsplash_2160x2700.jpg	full	2200-unsplash-renders
2400-unsplash-textures/2407_textures_blue-wabring-threads_by-pawel-czerwinski-kra9zndplra-unsplash_4000x6000.jpg	full	2400-unsplash-textures
2400-unsplash-textures/2409_textures_blue-abstract-texture_by-tim-mossholder-shmrlyrv-s0-unsplash_5504x8256.jpg	full	2400-unsplash-textures
3000-art-institute-of-chicago-photos/3007_aic_rounded-jar-depicting-abstract-fish-or-sharks_4715_2848x2250.jpg	full	3000-art-institute-of-chicago-photos
3000-art-institute-of-chicago-photos/3009_aic_komurasaki-of-the-miuraya-and-shirai-gompachi-mi_7624_676x3000.jpg	full	3000-art-institute-of-chicago-photos
3300-met-museum-photos/3307_met_marine_337532_3795x2667.jpg	full	3300-met-museum-photos
3300-met-museum-photos/3309_met_portrait_340070_2872x3623.jpg	full	3300-met-museum-photos
3300-met-museum-photos/3317_met_manuscript_447107_1200x912.jpg	full	3300-met-museum-photos
5000-national-park-service-brochures/color/5007_nps_choh-great-falls-hiking-map_color_p01_3300x2550.png	full	5000-national-park-service-brochures
5000-national-park-service-brochures/color/5009_nps_deva-backcountry-and-wilderness-access-map_color_p01_4800x6900.png	full	5000-national-park-service-brochures
5000-national-park-service-brochures/color/5017_nps_grsm-grsm-trail-map_color_p01_9146x5272.png	full	5000-national-park-service-brochures
5200-epa-climate-impact-2021-report/5207_epa_climate-impact-2021_approach-4-step-methodology_p011_2968x3841.png	full	5200-epa-climate-impact-2021-report
5200-epa-climate-impact-2021-report/5209_epa_climate-impact-2021_airquality-key-findings-childhood-asthma_p030_2968x3841.png	full	5200-epa-climate-impact-2021-report
5200-epa-climate-impact-2021-report/5217_epa_climate-impact-2021_inland-flooding-national-risk-map_p069_2968x3841.png	full	5200-epa-climate-impact-2021-report
5300-noaa-hurricane-documents/5307_noaa_nhc-milton-al142024_text-body_p19_2550x3300.png	full	5300-noaa-hurricane-documents
5300-noaa-hurricane-documents/5309_noaa_nhc-al022024-beryl_p26_2550x3300.png	full	5300-noaa-hurricane-documents
5300-noaa-hurricane-documents/5317_noaa_nhc-al072022-fiona_p01_2550x3300.png	full	5300-noaa-hurricane-documents
