url	crop_label	content_class	cluster_id	cluster_size
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/home/decor/9736_gen_products-home-decor_brass-table-clock_p0497_1024x1024.sdr.png	c25_tl	9226-lilith-ai-products	0	84
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1200-lilith-interiors/1200_interiors_reflective-egg-sculptures_s23u_iso10-f1p7_20230704-121114_4000x3000.sdr.png	c50_center	1200-lilith-interiors	1	74
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1440x900/8107_web-screenshots_climate-news_dpr1_page2_1440x900.sdr.png	c50_bl	8100-lilith-web-screenshots	2	109
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/clothing/womens/general/9528_gen_products-clothing-womens-general_dusty-blue-blouse_onmodel_p0293_1024x1536.sdr.png	c50_bl	9226-lilith-ai-products	3	77
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/line-patterns/7054_plots_line-tiling-00056-s6bcec02a_1024x1024.sdr.png	c50_br	7000-lilith-plots	4	24
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/clothing/womens/general/9526_gen_products-clothing-womens-general_denim-jacket_flat_p0291_1024x1024.sdr.png	c50_center	9226-lilith-ai-products	5	13
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/5000-national-park-service-brochures/grayscale/5044_nps_mora-ohanapecosh7-2019_gray_p01_2550x3300.sdr.png	c25_tr	5000-national-park-service-brochures	6	784
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/toys/9886_gen_products-toys_card-game-deck-box_p0647_1024x1536.sdr.png	c50_tl	9226-lilith-ai-products	7	44
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/yvonne_brill_us3807657_1bitoriginal/6101_scans-patents_yvonne-brill-us3807657-1bit_p004_2320x3408.sdr.png	c50_bl	6000-lilith-scans-public-patents	8	114
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9152_gen_illustrations_taxi-rainy-evening_1024x1536.sdr.png	full	9094-lilith-ai-illustrations	9	10
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1400-lilith-nature/1492_nature_mountain-lake-landscape_whitehorse-canada_s25u_iso64-f1p7_20250805-162506_3000x4000.sdr.png	full	1400-lilith-nature	10	73
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/grids/7053_plots_line-00252-s1b3f1017_1024x1024.sdr.png	c25_br	7000-lilith-plots	11	18
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9094-lilith-ai-illustrations/9121_gen_illustrations_fox-in-autumn-leaves_1024x1536.sdr.png	c25_bl	9094-lilith-ai-illustrations	12	5
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/1400-lilith-nature/1462_nature_clouds-from-above_iceland_s23u_iso10-f1p7_20240421-074801_3000x4000.sdr.png	c50_center	1400-lilith-nature	13	72
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/1440x900/8110_web-screenshots_federalreserve-data_dpr1_page1_1440x900.sdr.png	c50_bl	8100-lilith-web-screenshots	14	50
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/grids/7052_plots_line-00222-s2f495179_1024x1024.sdr.png	c25_tl	7000-lilith-plots	15	5
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/5300-noaa-hurricane-documents/5312_noaa_nhc-al042024-debby_p19_2550x3300.sdr.png	c25_bl	5300-noaa-hurricane-documents	16	176
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/7000-lilith-plots/grids/7038_plots_chart-00144-s2f4e8e1b_1024x1024.sdr.png	c25_tr	7000-lilith-plots	17	14
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/8100-lilith-web-screenshots/375x667/8282_web-screenshots_lkml-lists-index_dpr1_page1_375x667.sdr.png	c25_bl	8100-lilith-web-screenshots	18	5
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescancolor300/6049_scans-patents_lynn-conway-us5046022-rescan-color_p021_2479x3230.sdr.png	c50_tr	6000-lilith-scans-public-patents	19	71
https://codec-corpus.r2.imazen.org/imazen-26-png-v3/9226-lilith-ai-products/baby/9276_gen_products-baby_sleep-sack-sage-bunny_flat_p0048_1024x1536.sdr.png	c25_tl	9226-lilith-ai-products	20	269
