id	split	content_class	path
1000	train	1000-lilith-photos-general	1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.jpg
1001	validate	1000-lilith-photos-general	1000-lilith-photos-general/1001_general_oceanfront-resort-view_sheraton-waikiki-east-honolulu_s21u_iso32-f1p8_20210602-055442_4000x3000.jpg
1002	train	1000-lilith-photos-general	1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.jpg
1003	validate	1000-lilith-photos-general	1000-lilith-photos-general/1003_general_docked-boat-pier_brick-palace-lahaina_s21u_iso50-f2p2_20210609-124821_4000x3000.jpg
1004	train	1000-lilith-photos-general	1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.jpg
1005	validate	1000-lilith-photos-general	1000-lilith-photos-general/1005_general_la-pedrera-rooftop-terrace_l-eixample-barcelona-spain_s21u_iso50-f2p2_20220304-165729_4000x3000.jpg
1006	train	1000-lilith-photos-general	1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.jpg
1007	test	1000-lilith-photos-general	1000-lilith-photos-general/1007_general_street-building-with-trees_shinjuku-gyoen-national-garden-shinjuku_s23u_iso10-f1p7_20230702-090345_4000x3000.jpg
1008	train	1000-lilith-photos-general	1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.jpg
1009	test	1000-lilith-photos-general	1000-lilith-photos-general/1009_general_aerial-cityscape_tokyo-skytree-sumida_s23u_iso50-f2p4_20230706-144950_4000x3000.jpg
1010	train	1000-lilith-photos-general	1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_4000x3000.jpg
1011	validate	1000-lilith-photos-general	1000-lilith-photos-general/1011_general_city-street-at-night_s23u_iso80-f1p7_20230711-19230_4000x2252.jpg
1012	train	1000-lilith-photos-general	1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.jpg
1013	validate	1000-lilith-photos-general	1000-lilith-photos-general/1013_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso800-f1p7_20230727-173318_4000x3000.jpg
1014	train	1000-lilith-photos-general	1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.jpg
1015	validate	1000-lilith-photos-general	1000-lilith-photos-general/1015_general_colorful-glass-sculpture_seattle-center-seattle_s23u_iso400-f2p4_20230727-173537_4000x3000.jpg
1016	train	1000-lilith-photos-general	1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_4000x2252.jpg
1017	test	1000-lilith-photos-general	1000-lilith-photos-general/1017_general_abstract-sculpture-installation_seattle-center-seattle_s23u_iso500-f1p7_20230727-173843_4000x2252.jpg
1018	train	1000-lilith-photos-general	1000-lilith-photos-general/1018_general_hanging-glass-sculptures_seattle-center-seattle_s23u_iso50-f2p4_20230727-174134_4000x3000.jpg
1019	test	1000-lilith-photos-general	1000-lilith-photos-general/1019_general_tower-against-blue-sky_seattle-center-seattle_s23u_iso10-f1p7_20230727-174406_4000x3000.jpg
1020	train	1000-lilith-photos-general	1000-lilith-photos-general/1020_general_space-needle-sculpture-garden_seattle-center-seattle_s23u_iso50-f2p2_20230727-174418_4000x3000.jpg
1021	validate	1000-lilith-photos-general	1000-lilith-photos-general/1021_general_sunset-cityscape-waterfront_seattle-center-seattle_s23u_iso50-f2p2_20230729-204147_4000x3000.jpg
1022	train	1000-lilith-photos-general	1000-lilith-photos-general/1022_general_thatched-roof-fence_azulik-city-arts-francisco-uh-may_s23u_iso50-f2p2_20230917-141034_4000x3000.jpg
1023	validate	1000-lilith-photos-general	1000-lilith-photos-general/1023_general_outdoor-lounge-sofa_azulik-city-arts-francisco-uh-may_s23u_iso12-f1p7_20230917-152324_4000x3000.jpg
1024	train	1000-lilith-photos-general	1000-lilith-photos-general/1024_general_outdoor-dining-table_azulik-city-arts-francisco-uh-may_s23u_iso100-f2p2_20230917-152718_4000x3000.jpg
1025	validate	1000-lilith-photos-general	1000-lilith-photos-general/1025_general_restaurant-table-setting_placa-pedro-infante-valladolid_s23u_iso2000-f2p2_20230917-193017_4000x3000.jpg
1026	train	1000-lilith-photos-general	1000-lilith-photos-general/1026_general_two-turtles-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105440_4000x3000.jpg
1027	test	1000-lilith-photos-general	1000-lilith-photos-general/1027_general_turtle-on-rock_hotel-zentik-project-valladolid_s23u_iso50-f4p9_20230918-105522_4000x2252.jpg
1028	train	1000-lilith-photos-general	1000-lilith-photos-general/1028_general_hands-holding-small-turtle_hotel-zentik-project-valladolid_s23u_iso25-f1p7_20230918-105607_4000x2252.jpg
1029	test	1000-lilith-photos-general	1000-lilith-photos-general/1029_general_decorative-planter-bed_hotel-zentik-project-valladolid_s23u_iso80-f1p7_20230918-105926_4000x3000.jpg
1030	train	1000-lilith-photos-general	1000-lilith-photos-general/1030_general_wooden-figure-planter_hotel-zentik-project-valladolid_s23u_iso200-f2p4_20230918-105951_4000x3000.jpg
1031	validate	1000-lilith-photos-general	1000-lilith-photos-general/1031_general_poolside-jungle-mural_fraccionamiento-jardines-de-oriente-valladolid-m_s23u_iso50-f2p4_20230918-110218_4000x3000.jpg
1032	train	1000-lilith-photos-general	1000-lilith-photos-general/1032_general_colorful-wall-mural_hotel-zentik-project-valladolid_s23u_iso20-f1p7_20230918-110521_4000x3000.jpg
1033	validate	1000-lilith-photos-general	1000-lilith-photos-general/1033_general_stone-tunnel-lights_placa-pedro-infante-valladolid_s23u_iso800-f1p7_20230918-111620_4000x3000.jpg
1034	train	1000-lilith-photos-general	1000-lilith-photos-general/1034_general_rainbow-painted-staircase_placa-pedro-infante-valladolid_s23u_iso50-f1p7_20230918-111645_2574x3432.jpg
1035	validate	1000-lilith-photos-general	1000-lilith-photos-general/1035_general_portrait-illustration_placa-pedro-infante-valladolid_s23u_iso32-f1p7_20230918-111959_4000x3000.jpg
1036	train	1000-lilith-photos-general	1000-lilith-photos-general/1036_general_stone-temple-carvings_ek-balam_s23u_iso16-f1p7_20230918-152107_4000x3000.jpg
1037	test	1000-lilith-photos-general	1000-lilith-photos-general/1037_general_stone-carved-archway_ek-balam_s23u_iso64-f2p2_20230918-152337_4000x2252.jpg
1038	train	1000-lilith-photos-general	1000-lilith-photos-general/1038_general_stone-building-entrance_ek-balam_s23u_iso20-f1p7_20230918-152619_4000x3000.jpg
1039	test	1000-lilith-photos-general	1000-lilith-photos-general/1039_general_sun-over-forest_ek-balam_s23u_iso50-f2p2_20230918-160739_4000x3000.jpg
1040	train	1000-lilith-photos-general	1000-lilith-photos-general/1040_general_roller-coaster-ride_fuji-q-highland-fujikawaguchiko_s23u_iso50-f2p4_20231030-160417_4000x3000.jpg
1041	validate	1000-lilith-photos-general	1000-lilith-photos-general/1041_general_hydration-warning-sign_s23u_iso320-f2p2_20231105-152839_4000x3000.heic
1042	train	1000-lilith-photos-general	1000-lilith-photos-general/1042_general_dragon-fountain-statue_monument-inochi-kyoto_s23u_iso100-f1p7_20231107-111520_4000x3000.heic
1043	validate	1000-lilith-photos-general	1000-lilith-photos-general/1043_general_rows-of-flowering-plants_garden-fine-arts-kyoto_s23u_iso50-f2p4_20231107-134320_4000x3000.heic
1044	train	1000-lilith-photos-general	1000-lilith-photos-general/1044_general_sticker-covered-wall-panel_gljufrabui-rangarthing-eystra_s23u_iso125-f1p7_20231206-150232_4000x3000.heic
1045	validate	1000-lilith-photos-general	1000-lilith-photos-general/1045_general_gemstones-in-wooden-bowls_tivoli-gardens-copenhagen_s23u_iso250-f1p7_20231212-185715_4000x3000.heic
1046	train	1000-lilith-photos-general	1000-lilith-photos-general/1046_general_canal-night-cityscape_memorial-anchor-copenhagen_s23u_iso800-f2p4_20231213-173257_4000x3000.heic
1047	test	1000-lilith-photos-general	1000-lilith-photos-general/1047_general_flowers-and-lit-candle_magasin-du-nord-museum-copenhagen_s23u_iso640-f2p4_20231213-182125_4000x3000.heic
1048	train	1000-lilith-photos-general	1000-lilith-photos-general/1048_general_people-snowboarding-in-snow_colorado_s23u_iso12-f1p7_20240325-104900_4000x3000.jpg
1049	test	1000-lilith-photos-general	1000-lilith-photos-general/1049_general_river-bridge-cityscape_louvre-palace-paris_s23u_iso50-f4p9_20240425-154623_4000x3000.jpg
1050	train	1000-lilith-photos-general	1000-lilith-photos-general/1050_general_riverside-walkway-and-river_louvre-palace-paris_s23u_iso50-f2p2_20240425-154625_4000x3000.jpg
1051	validate	1000-lilith-photos-general	1000-lilith-photos-general/1051_general_people-in-rowboat_7th-arrondissement-paris-france_s23u_iso800-f1p7_20240425-184958_4000x3000.jpg
1052	train	1000-lilith-photos-general	1000-lilith-photos-general/1052_general_framed-building-painting_museum-orsay-paris_s23u_iso500-f2p4_20240425-185701_4000x3000.jpg
1053	validate	1000-lilith-photos-general	1000-lilith-photos-general/1053_general_statue-in-arched-alcove_louvre-palace-paris_s23u_iso500-f2p2_20240426-175831_4000x3000.jpg
