file	sha256	bytes	width	height
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale120x160.hdr.png	51770a74d509a9cf110cc837a790efb72366b63cd9b62f4a681478ead4d88bc0	96043	120	160
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale150x200.hdr.png	d11e6296bb2d8939534f4f199b59843263f5bfd72a681bb15dbbfabb0320370c	149423	150	200
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale192x256.hdr.png	323d73cf47ed49de4f435c17e546cf034d7446d9a3dbd1657cd519ce80adfc4c	243822	192	256
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale240x320.hdr.png	66f6581710d39cdfe6c37d2f98e8077236ef09f7722c63477700ec98bc01326a	379461	240	320
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale300x400.hdr.png	17313208c99f3ac4fb14dda9cf21d40e53176327ac2cd8354f3f7f2f5c0409d4	589485	300	400
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale384x512.hdr.png	6be9d226bbd68ca082f63f885b92e6ec5a17039c6d64f6f362ae0903a0c7a198	959210	384	512
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale96x128.hdr.png	92ae8955ab078df6edb01b00f196a0581b0063958a4e909f25be446e1abc735a	61827	96	128
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale120x160.hdr.png	04ebf29f2de79257dddec588a5f8446016c5b4f642f40327a0bfe22500fdc7d3	98414	120	160
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale480x640.hdr.png	1c118a323fe05d590188ce69a9ff61c3a8c71c7422d839c6e60eb0198b9f04c0	1489551	480	640
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale150x200.hdr.png	519ff619d0a592d89c8a2ab02a7e9edaccf47d13b5b60c3240d30d0061cf6d55	152364	150	200
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale600x800.hdr.png	635ec76cf557386dbe7441cc84bc0dfd4d388eb1d576619ce6db040a7ba8093a	2310441	600	800
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale192x256.hdr.png	af4eeb26dd3c324574ce7504a53bec5c510a12790232bdc97db453428bd6acef	246255	192	256
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale240x320.hdr.png	00aae57c87a55519ecbc8a7043147e4483fff5636176a00c6c909d67162f5d6a	380307	240	320
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale768x1024.hdr.png	1e8f118ef7aaeb9dfc6df003c78039afd6d0251cc677b016bd7d4f9ed7b0e39e	3764136	768	1024
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale300x400.hdr.png	8c0a9cc5fcd0b4e0c44fc83a3ff15b9c3ad605b4e7483c3e6dec53042ddefedf	588618	300	400
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale384x512.hdr.png	342a51d2ed9001e6c2410c1d4a415e946d23afbe1bba0e7d64603300a2fdef0a	953006	384	512
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale96x128.hdr.png	28a512258e241b2a4e40e96a14e43ae129ceb59f07e6e7786540c1d409053218	63682	96	128
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale480x640.hdr.png	655d3f618ca85f2866648453aa401d6bf42feaaef490d7ac36da1c98f8450eca	1472884	480	640
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale960x1280.hdr.png	12370b4de667187e131ddb488b9a5407c0aa41ed5a337707d85eda7ae3476993	5860442	960	1280
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale600x800.hdr.png	2f46e610405b5d6f326506c7a84ab98792d13f77bd9dc1d0b98cdecc832b6a77	2270845	600	800
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.scale120x160.hdr.png	b22ef72a68e417e52abbf43af38235fcfbd5e975d8ab1b97bc358f0c154079c5	101566	120	160
1064_general_castle-bridge-moat_montjuic-castle-barcelona_zfold7_iso40-f1p7_20260315-175347_3000x4000.scale1200x1600.hdr.png	3a8d773fcb95cebd33597c22f989ecba78415b31911cd8f28ba78d358e2d2959	9112415	1200	1600
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.scale150x200.hdr.png	71ac56246057310107500a844d372e5516162944644d7aac1bf0a555e433cb07	156672	150	200
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.scale192x256.hdr.png	6d1c2cefcda74e8cee9ac16c9c872d4fd53d58a3ef04e0bd347fdb086d49cb65	254927	192	256
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale768x1024.hdr.png	93991064b32c480244e858fcdaba07b66cff378cb019d83b12b9342f927c142e	3680238	768	1024
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale1200x1600.hdr.png	0f430dd1bce275bc392f5df5a31c6aaa48b725a89f70ac05c13e18c7517eae1a	8888689	1200	1600
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.scale240x320.hdr.png	780eff6bb46a22e1b31235fa5d77130c7ce14d65b9893a8652aa5352a71e3925	396556	240	320
1065_general_cathedral-model-workshop_sagrada-familia-barcelona_zfold7_iso64-f1p7_20260317-165822_3000x4000.scale960x1280.hdr.png	d6d56f63138305393c0c745baaaa6fcd077298339e873e38d23347bc3051d1a5	5707199	960	1280
1066_general_stone-building-facade_park-guell-barcelona_zfold7_iso80-f1p7_20260318-172109_3000x4000.scale384x512.hdr.png	6e6d741b245944b71674e0c0288b65c09e9f2b1dbb70c7b464357111743b7c61	1003153	384	512
