origin_id	cluster	cluster_size	content_class	native_longedge	canonical_family_split
5004	0	14	5000-national-park-service-brochures	7016	train
8196	1	78	8100-lilith-web-screenshots	1920	train
9228	2	50	9226-lilith-ai-products	3840	train
9958	3	117	9226-lilith-ai-products	1536	train
9118	4	17	9094-lilith-ai-illustrations	1536	train
8268	5	115	8100-lilith-web-screenshots	2880	validate
1236	6	56	1200-lilith-interiors	4000	train
7052	7	1	7000-lilith-plots	1024	train
7058	8	14	7000-lilith-plots	1024	train
1438	9	43	1400-lilith-nature	4000	train
8302	10	50	8100-lilith-web-screenshots	667	train
6096	11	32	6000-lilith-scans-public-patents	3230	validate
5048	12	45	5000-national-park-service-brochures	4200	train
6606	13	2	6600-ia-scans-manuscript-illustrations	7275	train
9074	14	50	9000-lilith-ai-clipart	1536	train
8414	15	8	8100-lilith-web-screenshots	1280	validate
9678	16	84	9226-lilith-ai-products	1536	train
2000	17	21	2000-unsplash-people	6600	train
1614	18	100	1600-lilith-food	4000	train
6018	19	12	6000-lilith-scans-public-patents	3408	train
7028	20	25	7000-lilith-plots	1024	train
9100	21	38	9094-lilith-ai-illustrations	1536	train
7050	22	1	7000-lilith-plots	1024	train
9868	23	109	9226-lilith-ai-products	1536	train
