rank	cumulative_gp	image_path	scale_w	scale_h	megapixels	content_class	variant_name
0	0.0000	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1000_general_red-convertible-car_mission-hills-san-diego-california_note9_iso50-f2p4_20190514-100811_4032x3024.sdr.png	128	96	0.0123	1000-lilith-photos-general	1000.scale128x96
1	0.0000	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1002_general_oceanfront-hotel-building_ka-anapali-beach-kaanapali_s21u_iso640-f1p8_20210608-052615_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1002.scale128x96
2	0.0000	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1004_general_paint-color-samples_s21u_iso200-f1p8_20220304-144007_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1004.scale96x128
3	0.0000	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1006_general_church-steeple-among-trees_s21u_iso50-f1p8_20220304-182325_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1006.scale96x128
4	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1008_general_city-view-through-window_tokyo-skytree-sumida_s23u_iso50-f2p2_20230706-142333_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1008.scale96x128
5	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1010_general_floating-dock-on-lake_hakone-ekiden-museum-hakone_s23u_iso80-f4p9_20230707-172043_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1010.scale96x128
6	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1012_general_spiky-crystal-display_seattle-center-seattle_s23u_iso1000-f1p7_20230727-173012_2190x3131.sdr.png	90	128	0.0115	1000-lilith-photos-general	1012.scale90x128
7	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1014_general_colorful-glass-spheres_seattle-center-seattle_s23u_iso500-f1p7_20230727-173515_4000x3000.sdr.png	128	96	0.0123	1000-lilith-photos-general	1014.scale128x96
8	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1016_general_hanging-glass-lamp_seattle-center-seattle_s23u_iso250-f1p7_20230727-173815_4000x2252.sdr.png	72	128	0.0092	1000-lilith-photos-general	1016.scale72x128
9	0.0001	/mnt/v/output/imazen-26-png/1000-lilith-photos-general/1018_general_hanging-glass-sculptures_seattle-center-seattle_s23u_iso50-f2p4_20230727-174134_4000x3000.sdr.png	96	128	0.0123	1000-lilith-photos-general	1018.scale96x128
