group_id	size	bucket	joined_by	canonical_family_splits	spans_canonical	ids
1013	3	mixed	burst<=120s	train,validate	1	1013,1014,1015
1016	2	mixed	burst<=120s	test,train	1	1016,1017
1019	2	mixed	burst<=120s	test,train	1	1019,1020
1026	3	mixed	burst<=120s	test,train	1	1026,1027,1028
1029	2	mixed	burst<=120s	test,train	1	1029,1030
1032	3	train	burst<=120s	train	0	1032,1208,1424
1033	2	mixed	burst<=120s	train,validate	1	1033,1034
1036	3	mixed	near-dup-by-eye	test,train	1	1036,1037,1038
1049	2	mixed	burst<=120s	test,train	1	1049,1050
1060	2	mixed	burst<=120s	test,train	1	1060,1629
1062	2	train	burst<=120s	train	0	1062,1484
1210	2	mixed	burst<=120s	test,train	1	1210,1619
1212	2	mixed	burst<=120s	train,validate	1	1212,1213
1218	2	mixed	burst<=120s	test,train	1	1218,1219
1227	2	mixed	burst<=120s	test,train	1	1227,1228
1229	2	mixed	burst<=120s	test,train	1	1229,1230
1235	2	mixed	burst<=120s	train,validate	1	1235,1236
1238	3	mixed	burst<=120s	test,train	1	1238,1239,1240
1241	2	mixed	burst<=120s	train,validate	1	1241,1242
1244	2	mixed	burst<=120s	train,validate	1	1244,1245
1419	2	mixed	burst<=120s	test,train	1	1419,1420
1429	3	mixed	burst<=120s	test,train,validate	1	1429,1430,1431
1433	3	mixed	burst<=120s,near-dup-by-eye	train,validate	1	1433,1434,1555
1437	2	mixed	burst<=120s	test,train	1	1437,1438
1442	2	mixed	near-dup-by-eye	train,validate	1	1442,1553
1461	2	mixed	near-dup-by-eye	train,validate	1	1461,1462
1470	2	mixed	near-dup-by-eye	test,train	1	1470,1549
1474	5	mixed	burst<=120s,near-dup-by-eye	test,train,validate	1	1474,1475,1476,1477,1478
1483	2	validate	near-dup-by-eye	validate	0	1483,1551
1489	3	mixed	burst<=120s	test,train,validate	1	1489,1490,1491
1508	2	mixed	near-dup-by-eye	test,train	1	1508,1509
1517	2	mixed	near-dup-by-eye	test,train	1	1517,1518
