id	pick	stratum	grade	squintly_split	canonical_split	group_id	presentation	lossy_origin	hdr_available	license	note
1000	batch1-train	photo-general	A	train	train	1000	scaled:256,512,768,1024	1	0	PD-own	
1002	batch1-train	photo-general	A	train	train	1002	scaled:256,512,768,1024	1	0	PD-own	night / low light (shadow blocking)
1004	batch1-train	photo-general	A	train	train	1004	scaled:256,512,768,1024	1	0	PD-own	saturated colour swatches (chroma subsampling)
1007	reserve-test	photo-general	A	test	test	1007	scaled:256,512,768,1024	1	0	PD-own	
1010	batch1-train	photo-general	A	train	train	1010	scaled:256,512,768,1024	1	0	PD-own	
1012	batch1-train	photo-general	A	train	train	1012	scaled:256,512,768,1024	1	0	PD-own	saturated art glass (chroma stress)
1022	batch1-train	photo-general	A	train	train	1022	scaled:256,512,768,1024	1	0	PD-own	
1024	batch1-train	photo-general	A	train	train	1024	scaled:256,512,768,1024	1	0	PD-own	
1039	reserve-test	photo-general	A	test	test	1039	scaled:256,512,768,1024	1	0	PD-own	
1042	batch1-train	photo-general	A	train	train	1042	scaled:256,512,768,1024	1	0	PD-own	
1047	reserve-test	photo-general	A	test	test	1047	scaled:256,512,768,1024	1	0	PD-own	
1052	batch1-train	photo-general	A	train	train	1052	scaled:256,512,768,1024	1	0	PD-own	
1054	batch1-train	photo-general	A	train	train	1054	scaled:256,512,768,1024	1	0	PD-own	
1057	reserve-test	photo-general	A	test	test	1057	scaled:256,512,768,1024	1	0	PD-own	night / low light (shadow blocking)
1059	reserve-test	photo-general	A	test	test	1059	scaled:256,512,768,1024	1	0	PD-own	
1064	batch1-train	photo-general	A	train	train	1064	scaled:256,512,768,1024	1	1	PD-own	
1066	batch1-train	photo-general	A	train	train	1066	scaled:256,512,768,1024	1	1	PD-own	
1068	batch1-train	photo-general	A	train	train	1068	scaled:256,512,768,1024	1	0	PD-own	
1069	reserve-test	photo-general	A	test	test	1069	scaled:256,512,768,1024	1	1	PD-own	night / low light (shadow blocking)
1070	batch1-train	photo-general	A	train	train	1070	scaled:256,512,768,1024	1	1	PD-own	
1200	batch1-train	photo-interior	A	train	train	1200	scaled:256,512,768,1024	1	0	PD-own	
1202	batch1-train	photo-interior	A	train	train	1202	scaled:256,512,768,1024	1	0	PD-own	
1204	batch1-train	photo-interior	A	train	train	1204	scaled:256,512,768,1024	1	0	PD-own	
1207	reserve-test	photo-interior	B	test	test	1207	scaled:256,512,768,1024	1	0	PD-own	plain hotel/kitchen interior
1208	batch1-train	photo-interior	A	train	train	1032	scaled:256,512,768,1024	1	0	PD-own	
1209	reserve-test	photo-interior	A	test	test	1209	scaled:256,512,768,1024	1	0	PD-own	
1216	batch1-train	photo-interior	A	train	train	1216	scaled:256,512,768,1024	1	0	PD-own	
1217	reserve-test	photo-interior	B	test	test	1217	scaled:256,512,768,1024	1	0	PD-own	plain hotel/kitchen interior
1220	batch1-train	photo-interior	A	train	train	1220	scaled:256,512,768,1024	1	0	PD-own	
1222	batch1-train	photo-interior	A	train	train	1222	scaled:256,512,768,1024	1	0	PD-own	
1224	batch1-train	photo-interior	A	train	train	1224	scaled:256,512,768,1024	1	0	PD-own	
1226	batch1-train	photo-interior	A	train	train	1226	scaled:256,512,768,1024	1	0	PD-own	
1232	batch1-train	photo-interior	A	train	train	1232	scaled:256,512,768,1024	1	1	PD-own	cathedral interior, stained glass
1234	batch1-train	photo-interior	A	train	train	1234	scaled:256,512,768,1024	1	1	PD-own	cathedral interior, stained glass
1237	reserve-test	photo-interior	A	test	test	1237	scaled:256,512,768,1024	1	1	PD-own	Gaudi interior (texture, coloured glass)
1246	batch1-train	photo-interior	A	train	train	1246	scaled:256,512,768,1024	1	1	PD-own	
1247	reserve-test	photo-interior	A	test	test	1247	scaled:256,512,768,1024	0	0	PD-own	
1406	batch1-train	photo-landscape	A	train	train	1406	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1407	reserve-test	photo-landscape	A	test	test	1407	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1408	batch1-train	photo-landscape	A	train	train	1408	scaled:256,512,768,1024	1	0	PD-own	
1409	reserve-test	photo-landscape	A	test	test	1409	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1416	batch1-train	photo-landscape	A	train	train	1416	scaled:256,512,768,1024	1	0	PD-own	sunset sky gradient (banding stress)
1418	batch1-train	photo-flora	A	train	train	1418	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1427	reserve-test	photo-flora	A	test	test	1427	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1428	batch1-train	photo-flora	A	train	train	1428	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1432	batch1-train	photo-flora	A	train	train	1432	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1436	batch1-train	photo-flora	A	train	train	1436	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1448	batch1-train	photo-landscape	A	train	train	1448	scaled:256,512,768,1024	1	0	PD-own	
1450	batch1-train	photo-landscape	A	train	train	1450	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1452	batch1-train	photo-landscape	A	train	train	1452	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1454	batch1-train	photo-landscape	A	train	train	1454	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1457	reserve-test	photo-landscape	A	test	test	1457	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1460	batch1-train	photo-flora	A	train	train	1460	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1464	batch1-train	photo-flora	A	train	train	1464	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1469	reserve-test	photo-landscape	A	test	test	1469	scaled:256,512,768,1024	1	0	PD-own	
1472	batch1-train	photo-landscape	A	train	train	1472	scaled:256,512,768,1024	1	0	PD-own	
1480	batch1-train	photo-landscape	A	train	train	1480	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1482	batch1-train	photo-landscape	A	train	train	1482	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1486	batch1-train	photo-landscape	A	train	train	1486	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1499	reserve-test	photo-landscape	A	test	test	1499	scaled:256,512,768,1024	1	0	PD-own	landscape / seascape (sky, water, texture)
1502	batch1-train	photo-landscape	A	train	train	1502	scaled:256,512,768,1024	1	1	PD-own	ice cave / cave, smooth blue gradients
1507	reserve-test	photo-landscape	A	test	test	1507	scaled:256,512,768,1024	1	1	PD-own	ice cave / cave, smooth blue gradients
1510	batch1-train	photo-flora	A	train	train	1510	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1512	batch1-train	photo-flora	A	train	train	1512	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1516	batch1-train	photo-flora	A	train	train	1516	scaled:256,512,768,1024	1	1	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1519	reserve-test	photo-flora	A	test	test	1519	scaled:256,512,768,1024	1	1	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1522	batch1-train	photo-flora	A	train	train	1522	scaled:256,512,768,1024	1	1	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1528	batch1-train	photo-flora	A	train	train	1528	scaled:256,512,768,1024	1	1	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1547	reserve-test	photo-flora	A	test	test	1547	scaled:256,512,768,1024	1	1	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1548	batch1-train	photo-flora	A	train	train	1548	scaled:256,512,768,1024	1	0	PD-own	flowers / foliage (saturated reds+purples, fine texture)
1550	batch1-train	photo-landscape	A	train	train	1550	scaled:256,512,768,1024	0	0	PD-own	sunset sky gradient (banding stress)
1554	batch1-train	photo-landscape	A	train	train	1554	scaled:256,512,768,1024	0	0	PD-own	
1600	batch1-train	photo-food	A	train	train	1600	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1602	batch1-train	photo-food	A	train	train	1602	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1604	batch1-train	photo-food	A	train	train	1604	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1606	batch1-train	photo-food	A	train	train	1606	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1607	reserve-test	photo-food	A	test	test	1607	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1609	reserve-test	photo-food	A	test	test	1609	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1610	batch1-train	photo-food	A	train	train	1610	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1612	batch1-train	photo-food	A	train	train	1612	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1616	batch1-train	photo-food	A	train	train	1616	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1617	reserve-test	photo-food	B	test	test	1617	scaled:256,512,768,1024	1	0	PD-own	table spread / plain plate
1618	batch1-train	photo-food	A	train	train	1618	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
1620	batch1-train	photo-food	A	train	train	1620	scaled:256,512,768,1024	1	0	PD-own	food (texture, saturated colour)
